,Temperature,A5,A6,A7,B5,B6,B7,C5,C6,C7,D5,D6,D7,E12,E5,E6,E7,F12,F5,F6,F7,G5,G7,H5,H7
,75,3885.94592506548,3637.67957811694,2336.46780779329,3885.94592506548,3637.67957811694,2043.99158034669,3885.94592506548,3534.48566944072,3586.14448691608,3850.50165192391,3690.1435327712,3735.6467610953,2064.18617091724,3582.58243053367,3944.97086367952,4098.45654435131,2766.2915483419,3768.74272910641,3637.67957811694,4025.95905837802,3885.94592506548,4167.84402087586,3885.94592506548,4090.38229583181
,75.5,3844.36061443972,3601.1433076064,2321.33827481689,3844.36061443972,3601.1433076064,2041.94349500863,3844.36061443972,3495.67429642953,3548.14849510683,3807.63425500455,3651.98331556626,3692.40984110614,2061.91110185709,3545.16914915159,3902.47207390846,4053.24253892204,2733.45855225367,3733.56689975253,3601.1433076064,3985.36792316802,3844.36061443972,4124.28204144294,3844.36061443972,4049.66024600323
,76,3802.53947547825,3564.72043755455,2305.75137253922,3802.53947547825,3564.72043755455,2039.9535914039,3802.53947547825,3457.2059421674,3510.08113014776,3764.99666127557,3613.93136411522,3647.85676869962,2059.75035024499,3507.69752342471,3860.24366910591,4007.44699309651,2698.35561202457,3698.22083787743,3564.72043755455,3944.81339907047,3802.53947547825,4080.60555444039,3802.53947547825,4008.89320356088
,76.5,3760.11274359599,3528.26628090469,2289.11609952131,3760.11274359599,3528.26628090469,2038.06279585347,3760.11274359599,3418.71776271337,3471.30177808227,3722.26426475327,3575.87337542239,3600.2634138629,2057.71277753995,3470.31627101096,3817.8882318213,3959.85021617447,2660.07916427856,3662.19912386054,3528.26628090469,3903.12025659803,3760.11274359599,4036.09429723949,3760.11274359599,3966.73878907451
,77,3716.53790304515,3491.03762933425,2271.04732063955,3716.53790304515,3491.03762933425,2036.10214317583,3716.53790304515,3380.02999835303,3431.89598671115,3678.82681024269,3537.48116285415,3548.54082763618,2055.72598813475,3432.36862523614,3774.90736360863,3908.85152777415,2617.16685076977,3624.57915959971,3491.03762933425,3858.57854824142,3716.53790304515,3988.85945006019,3716.53790304515,3922.07324228295
,77.5,3670.17718072474,3451.59377597564,2250.36143676368,3670.17718072474,3451.59377597564,2034.18437078406,3670.17718072474,3340.40158231585,3390.93040355402,3633.83439820734,3497.43533120286,3491.09597720559,2053.88610305457,3392.75579875893,3729.93548862975,3851.91486440043,2568.07328126818,3583.45932747046,3451.59377597564,3808.22665072292,3670.17718072474,3935.64530454976,3670.17718072474,3871.90714605713
,78,3617.95628139434,3407.21571301959,2226.93653823603,3617.95628139434,3407.21571301959,2032.1421812273,3617.95628139434,3297.80368415,3345.92246577509,3584.4839890928,3452.81601039255,3425.56934374427,2052.04902126871,3348.72054790623,3679.50867436138,3784.51834710167,2511.06068170353,3534.71282695959,3407.21571301959,3747.50528663258,3617.95628139434,3871.29020602843,3617.95628139434,3811.11019253066
,78.5,3553.36122747512,3351.99708432443,2200.69159072761,3553.36122747512,3351.99708432443,2029.94299258382,3553.36122747512,3247.31553172157,3292.29355929481,3525.32419478282,3397.92322254961,3349.03673774884,2050.07268081594,3295.15275959076,3616.32790839575,3700.17267148232,2446.35517211898,3470.8676769092,3351.99708432443,3668.69238221997,3553.36122747512,3788.13737936699,3553.36122747512,3732.3552848976
,79,3466.71260084428,3276.79584250932,2172.49759297318,3466.71260084428,3276.79584250932,2027.64192113517,3466.71260084428,3181.00098442142,3222.1529197218,3447.54802927377,3323.7900532677,3257.96255202947,2047.97074448185,3223.34899771102,3529.68999600379,3591.38092328669,2375.43056567402,3382.93878897461,3276.79584250932,3563.57106474845,3466.71260084428,3677.67227599909,3466.71260084428,3628.18671881317
,79.5,3348.52537151459,3172.87207847235,2143.73368090456,3348.52537151459,3172.87207847235,2025.39116889609,3348.52537151459,3090.07949722087,3126.36656036884,3343.40127996465,3221.77345097493,3148.69347171852,2045.98246223968,3125.27542810286,3408.62836011226,3452.377617711,2302.29265330202,3263.27539765177,3172.87207847235,3425.56719279329,3348.52537151459,3533.31881069208,3348.52537151459,3491.4301371616
,80,3195.20176531095,3034.79843944215,2116.70411242178,3195.20176531095,3034.79843944215,2023.1327265388,3195.20176531095,2968.61924955414,2999.0737502812,3211.06688376188,3088.15826697863,3021.03139758648,2044.00555849817,2998.06198180803,3246.44771911083,3281.95891279488,2231.94658112608,3107.88928886969,3034.79843944215,3251.65059484279,3195.20176531095,3352.01656383581,3195.20176531095,3319.32760857697
,80.5,3011.13039990187,2864.27708034718,2093.03652578421,3011.13039990187,2864.27708034718,2020.94836488593,3011.13039990187,2817.70510295988,2841.62319473296,3055.70372488989,2926.59870734506,2877.45612335897,2041.9825372785,2845.79328969896,3045.52729113012,3084.83928067679,2169.87333226965,2921.51373674911,2864.27708034718,3046.00168792116,3011.13039990187,3137.97986290437,3011.13039990187,3115.97677076526
,81,2810.55954979473,2673.37092587648,2073.85999579466,2810.55954979473,2673.37092587648,2018.96282366728,2810.55954979473,2647.3657063675,2663.96624361842,2888.8570938756,2749.69762003275,2723.87963889975,2040.00827175628,2679.73046525396,2820.62021182712,2872.86230822134,2119.94166443887,2719.16320342468,2673.37092587648,2823.71633372035,2810.55954979473,2905.50691481498,2810.55954979473,2894.16302387373
,81.5,2615.13500354926,2482.13072621165,2058.90341142254,2615.13500354926,2482.13072621165,2017.02302935837,2615.13500354926,2475.28911643373,2483.99736866676,2728.90160603928,2576.96043692796,2570.58429349747,2037.98583761766,2518.07904857072,2595.29924521458,2663.6097578617,2083.71189995551,2521.25356198526,2482.13072621165,2604.53118825269,2615.13500354926,2674.3144670898,2615.13500354926,2672.27080236644
,82,2446.2813590605,2311.2898974916,2047.66484034884,2446.2813590605,2311.2898974916,2015.1851265013,2446.2813590605,2321.11434234635,2322.24578041388,2593.27541596193,2427.44551973293,2428.7729434509,2035.91820999331,2379.20588805701,2394.59950397917,2474.74898241595,2059.50777440448,2347.44373680453,2311.2898974916,2408.02025742752,2446.2813590605,2464.7818627388,2446.2813590605,2469.74484928232
,82.5,2317.57491530447,2177.14268220145,2038.87314292471,2317.57491530447,2177.14268220145,2013.59088534373,2317.57491530447,2200.5141087056,2194.89080881506,2490.04645966306,2313.95530672618,2305.99304619687,2033.94581735214,2273.42898098586,2237.54833200837,2318.77208528276,2044.84391109569,2213.0283030047,2177.14268220145,2250.89723031028,2317.57491530447,2294.17888230876,2317.57491530447,2303.0096852583
,83,2230.84517855216,2086.03129100354,2031.94102000357,2230.84517855216,2086.03129100354,2012.07907003526,2230.84517855216,2118.50575678319,2107.99184257377,2417.12619776672,2238.42762759119,2207.30520628362,2032.17132197986,2201.39440647135,2131.13370106218,2201.61982649336,2036.61819567777,2122.20164181644,2086.03129100354,2140.72139948546,2230.84517855216,2171.25414376144,2230.84517855216,2180.31252554929
,83.5,2178.81645812133,2033.02261463605,2026.02757977109,2178.81645812133,2033.02261463605,2010.59730134512,2178.81645812133,2070.39091535196,2057.30736925511,2367.85004963851,2194.47235322559,2133.82847361105,2030.54341358276,2157.68879350637,2068.8382232846,2122.62210387592,2031.93660357292,2068.82024273856,2033.02261463605,2072.73282642374,2178.81645812133,2092.97362874462,2178.81645812133,2100.36907926947
,84,2150.09403385822,2007.42948304051,2021.19609401452,2150.09403385822,2007.42948304051,2009.35400801944,2150.09403385822,2046.59550009347,2033.1749172267,2330.23143416902,2171.66263673282,2082.82211188172,2029.29118313086,2133.40066489313,2038.21675556592,2074.66466994446,2028.69975572045,2042.02824066982,2007.42948304051,2036.77827533626,2150.09403385822,2050.07415969188,2150.09403385822,2054.64208212195
,84.5,2133.34684998611,1997.94940221269,2017.35331766832,2133.34684998611,1997.94940221269,2008.06099809146,2133.34684998611,2036.72641270672,2024.39482619923,2294.37825311253,2160.15253030312,2049.73008545864,2028.13688086662,2118.97822505807,2025.94196299385,2048.19110908045,2026.55920857533,2030.92254090035,1997.94940221269,2021.59470278336,2133.34684998611,2030.56436710333,2133.34684998611,2032.55020045265
,85,2119.99578936303,1995.06916296889,2014.59877791497,2119.99578936303,1995.06916296889,2006.75241362257,2119.99578936303,2031.92398658023,2021.71049966707,2255.78491170241,2151.94782128315,2030.02042839436,2027.0631712525,2108.507018687,2020.97327158206,2034.9978126304,2024.88525492766,2026.10822407528,1995.06916296889,2016.50378026877,2119.99578936303,2023.5130114946,2119.99578936303,2023.44481267861
,85.5,2107.43019741569,1993.58837049329,2012.4590670258,2107.43019741569,1993.58837049329,2005.57974530929,2107.43019741569,2028.15161813943,2020.36889818889,2214.81613370546,2144.2004270277,2018.8804799368,2025.96546029017,2099.99436753148,2017.6865157179,2028.97815563653,2023.32134397865,2022.70221649125,1993.58837049329,2014.39446306507,2107.43019741569,2021.0900561494,2107.43019741569,2020.02616048168
,86,2095.67027964705,1992.22978468114,2010.98002859997,2095.67027964705,1992.22978468114,2004.35664453025,2095.67027964705,2024.8798689759,2019.20857642975,2173.52509576441,2136.58265733169,2013.0779468434,2024.99661455118,2092.91350318785,2015.00358769168,2025.94945809316,2021.85036347689,2019.48885691024,1992.22978468114,2012.9026365483,2095.67027964705,2020.02929756384,2095.67027964705,2018.41900330954
,86.5,2084.49048095667,1990.88940491368,2009.91928090441,2084.49048095667,1990.88940491368,2003.13611302004,2084.49048095667,2022.20774459038,2018.27633746145,2138.20703323793,2129.13543773343,2010.05383498651,2023.86078162148,2086.55130010097,2012.85655137654,2023.97905717556,2020.70953061602,2016.3568646502,1990.88940491368,2011.52724464876,2084.49048095667,2018.86656282875,2084.49048095667,2017.16457383241
,87,2073.94039296373,1989.59732476117,2009.07355170504,2073.94039296373,1989.59732476117,2002.2119261076,2073.94039296373,2019.85483227272,2017.62741200276,2110.99516264665,2121.42973824739,2008.1079326982,2022.83220085888,2080.86201361562,2011.09593923319,2022.54786998656,2019.35997768546,2013.17206256824,1989.59732476117,2010.20134342107,2073.94039296373,2017.80940562698,2073.94039296373,2015.89631856021
,87.5,2064.30672791948,1988.43889445363,2008.41321632459,2064.30672791948,1988.43889445363,2001.28281304213,2064.30672791948,2017.76916302311,2016.83411130205,2090.11795576865,2111.76310189586,2006.4393356485,2021.82923439882,2074.10388568998,2009.85725584653,2021.08887347642,2017.92117354437,2009.87029280839,1988.43889445363,2008.87425212697,2064.30672791948,2016.58201489308,2064.30672791948,2014.65351529879
,88,2054.88110962018,1987.19693582604,2007.70278842673,2054.88110962018,1987.19693582604,2000.3058134557,2054.88110962018,2015.90287458761,2015.76005231095,2073.95594956757,2099.35581305067,2005.21631936671,2020.87107165454,2065.81231872321,2008.56048261283,2019.69136483312,2016.69720026881,2006.2826749853,1987.19693582604,2007.64354963508,2054.88110962018,2015.32914094508,2054.88110962018,2013.50362055797
,88.5,2045.22255774436,1985.85939058267,2006.6398400034,2045.22255774436,1985.85939058267,1999.46331360298,2045.22255774436,2014.12704595016,2014.55455324621,2061.31457854928,2084.41383571386,2003.99892853725,2019.77287183698,2055.92424063014,2007.42300671287,2018.2688387211,2015.48393836524,2002.34442732682,1985.85939058267,2006.48290060092,2045.22255774436,2013.9607940895,2045.22255774436,2012.0359019412
,89,2035.58166083454,1984.47435946165,2005.49199371253,2035.58166083454,1984.47435946165,1998.58837789457,2035.58166083454,2012.38704730749,2013.12567553286,2048.57979041879,2067.01980339993,2002.75829317805,2018.64269892676,2045.03090892339,2006.35013023167,2016.90428848542,2013.97317565699,1998.03422904623,1984.47435946165,2005.23478632076,2035.58166083454,2012.79172073934,2035.58166083454,2010.60995453443
,89.5,2025.84729496784,1982.86744029054,2004.25366617693,2025.84729496784,1982.86744029054,1997.42619678071,2025.84729496784,2010.67364552642,2011.38627173095,2034.53390725562,2047.70226225773,2001.44275120976,2017.39250145913,2032.88043855136,2005.07360548185,2015.27855887577,2012.63988874296,1993.41328639856,1982.86744029054,2003.85758678545,2025.84729496784,2011.59111583245,2025.84729496784,2009.11219072776
,90,2016.89153012637,1981.17611454628,2002.79731714234,2016.89153012637,1981.17611454628,1996.24016214936,2016.89153012637,2009.00313842686,2009.82137341324,2021.69846621348,2030.76100405042,2000.12829052411,2016.07747406,2022.25489458394,2003.47491105877,2013.81117363472,2011.40530232444,1989.00661956868,1981.17611454628,2002.4599896715,2016.89153012637,2010.21387189005,2016.89153012637,2007.49280655466
,90.5,2009.64762329394,1979.45571394521,2001.24264644359,2009.64762329394,1979.45571394521,1995.07921576783,2009.64762329394,2007.51905853373,2008.38866554552,2012.10892037495,2018.04557682994,1998.51048886119,2014.74943394014,2014.05705018444,2001.97555909733,2012.44568537127,2009.92589581676,1985.37829693361,1979.45571394521,2001.02971341916,2009.64762329394,2008.85026319785,2009.64762329394,2005.72660782943
,91,2004.3649105233,1977.99618263227,2000.13490225971,2004.3649105233,1977.99618263227,1993.82328879014,2004.3649105233,2006.19623262137,2006.84781061563,2005.16784627341,2009.16755860815,1997.01567346369,2013.44480638065,2008.39418180313,2000.38902612558,2011.15384943819,2008.44102464533,1982.45461997718,1977.99618263227,1999.55749339613,2004.3649105233,2007.28542927459,2004.3649105233,2004.26791930112
,91.5,2000.71629145057,1976.71254362336,1999.05894483237,2000.71629145057,1976.71254362336,1992.47654862,2000.71629145057,2005.07020748633,2005.51006604848,2000.85948913273,2004.06297729039,1995.78446218198,2012.25184793638,2004.73739359564,1998.70276022134,2009.79941001778,2007.20156602804,1980.33387555117,1976.71254362336,1998.35308952128,2000.71629145057,2005.60409952533,2000.71629145057,2002.90895779356
,92,1998.69354388686,1975.75625754254,1998.13314006271,1998.69354388686,1975.75625754254,1991.39202160465,1998.69354388686,2004.20079849752,2004.47988351735,1998.93176004977,2002.37767711725,1994.82056693698,2011.0877269871,2003.0637952039,1997.4687079867,2008.69116331671,2006.09741792886,1978.8932737129,1975.75625754254,1997.21349934093,1998.69354388686,2003.89459210243,1998.69354388686,2001.6272348772
,92.5,1997.47852977937,1974.79300006263,1997.18558648128,1997.47852977937,1974.79300006263,1990.37191528871,1997.47852977937,2003.55114312123,2003.68730672511,1998.27836259882,2001.55472554428,1994.07073638463,2009.96223447915,2002.21630791836,1996.61532750311,2007.62987836386,2005.11954083803,1977.87373615571,1974.79300006263,1996.33257302528,1997.47852977937,2002.60923022546,1997.47852977937,2000.67239319882
,93,1996.58576053894,1974.03091880116,1996.5556776063,1996.58576053894,1974.03091880116,1989.45839518978,1996.58576053894,2002.93638039214,2003.0557512586,1997.35197630504,2000.57265838547,1993.69584846115,2008.93179122696,2001.50726915058,1995.87274590764,2006.60653435751,2004.41872659031,1976.8935966973,1974.03091880116,1995.70433278462,1996.58576053894,2001.5050796889,1996.58576053894,2000.07732254399
,93.5,1995.83185828308,1973.22580855327,1995.81035413717,1995.83185828308,1973.22580855327,1988.93667726242,1995.83185828308,2002.43352546537,2002.98361675275,1996.70277213378,1999.75490482417,1993.43689866219,2008.01838526364,2000.84951275772,1995.43873257308,2005.7681848619,2004.03966960651,1976.07217034039,1973.22580855327,1995.19775658759,1995.83185828308,2000.86420727034,1995.83185828308,1999.57622544852
,94,1995.65001140025,1972.30411992478,1994.79539307018,1995.65001140025,1972.30411992478,1988.6878997365,1995.65001140025,2002.22933076819,2002.96734915126,1995.93090386396,1999.12796778857,1992.96143271373,2007.29821973798,2000.40605292334,1994.89320511347,2005.23878125023,2003.37740357506,1975.00901595392,1972.30411992478,1994.76748522427,1995.65001140025,2000.68553470852,1995.65001140025,1999.94968130481
,94.5,1995.49149424345,1971.42344736462,1993.91981480878,1995.49149424345,1971.42344736462,1988.4752266991,1995.49149424345,2001.9372697068,2003.03393260919,1995.19208587562,1998.35174846572,1992.61399077063,2006.64531824342,2000.06186663851,1994.31247144308,2004.68297779279,2002.8626123739,1974.09260837877,1971.42344736462,1994.51211465243,1995.49149424345,2000.66134457809,1995.49149424345,2000.35973520048
,95,1996.38237927671,1970.22223137846,1992.17283346269,1996.38237927671,1970.22223137846,1988.59792313402,1996.38237927671,2002.42913065365,2003.05868835025,1994.07681792028,1998.42546372425,1991.60178125412,2006.42334781483,1999.92097354205,1992.99227065873,2004.68088912966,2001.45727375717,1972.59140837213,1970.22223137846,1994.36888695721,1996.38237927671,2001.34358900544,1996.38237927671,2002.60065174747
